Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-74d9,checkpoint-9nfr,checkpoint-33a1,randomiser-pv2z,Randomise questionnaire elements?,Question Key,Response
1,1.69651E+12,05.10.2023 13:14,1.69651E+12,2,05.10.2023 15:14,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1920x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,BEGIN QUESTIONNAIRE,
2,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,1_dob-month,9
3,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,1_dob-year,1982
4,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,2_pob,Bergen
5,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,3_residence,Oslo
6,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,4_handedness,høyrehendt
7,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,4_handedness-quantised,1
8,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,5_hearinglevel,Alvorlig hørselstap (>90 dB)
9,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,5_hearinglevel-quantised,1
10,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,6_hearing-aids,ja
11,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,6_hearing-aids-quantised,1
12,1.69651E+12,05.10.2023 13:17,1.69651E+12,2,05.10.2023 15:17,142915,11,questionnaire-zt1x,,32047388,BLIND,9477675,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 117.0.0.0,1920x1080,1903x923,Accepted,,,NSL questionnaire,14,Not on phone,Accepted,,list2,No,6a_CI,nei
